1 4 8 12 
100 300 500 1000 
1 8 16 32 64 
0.000793 0.000498 0.000315 0.000318 0.000288 
0.006633 0.003285 0.002965 0.003112 0.003062 
0.017611 0.009362 0.009409 0.008283 0.007731 
0.062769 0.041403 0.039802 0.034761 0.030578 

0.001182 0.000233 0.000201 0.000199 0.000244 
0.004392 0.002513 0.001962 0.001418 0.002432 
0.008921 0.004106 0.004831 0.003728 0.004051 
0.032087 0.013980 0.016759 0.012032 0.012994 

0.001311 0.000228 0.000212 0.000616 0.000359 
0.011030 0.003936 0.002003 0.002244 0.002087 
0.009834 0.003623 0.003323 0.004046 0.003957 
0.027890 0.012371 0.010734 0.010056 0.011537 

0.005915 0.000224 0.000230 0.000301 0.001235 
0.006389 0.001379 0.004955 0.003233 0.002312 
0.033913 0.006105 0.003820 0.009922 0.009897 
0.048453 0.010793 0.014932 0.008982 0.144189 

