1 4 8 12 
100 300 500 1000 
1 8 16 32 64 
0.067671 0.030430 0.030286 0.028097 0.026627 
0.690499 0.343027 0.327529 0.312474 0.304266 
2.013387 1.048124 1.004079 0.947575 0.898376 
8.431620 5.190918 4.757093 4.341204 4.126200 

0.082502 0.021599 0.019516 0.020658 0.023949 
0.459114 0.146371 0.141627 0.132923 0.160343 
1.102012 0.414006 0.365480 0.357693 0.411896 
3.641748 1.594887 1.573031 1.403439 1.387696 

0.099718 0.022311 0.020344 0.026428 0.033981 
0.497971 0.136291 0.119997 0.125459 0.194459 
1.059530 0.364822 0.312706 0.309675 0.401050 
3.368086 1.794436 1.285744 1.210783 1.537409 

2.065210 0.027653 0.031270 0.043212 0.049035 
0.750007 0.191133 0.189140 0.298073 0.283701 
1.529975 0.425334 0.461813 0.421771 0.898770 
5.511874 1.454293 1.554238 1.562434 1.721505 

